n_words,n_frozen_layers,accuracy,epoch
10,-1.0,0.969355406833392,3
10,-1.0,0.9679464600211342,4
10,-1.0,0.9661852765058119,10
10,-1.0,0.969355406833392,7
10,-1.0,0.9668897499119409,18
10,-1.0,0.9686509334272632,18
10,-1.0,0.9672419866150053,5
10,-1.0,0.965480803099683,8
10,-1.0,0.9682986967241987,2
10,-1.0,0.9686509334272632,5
10,-1.0,0.9704121169425854,4
10,-1.0,0.9697076435364566,11
10,-1.0,0.9672419866150053,8
10,-1.0,0.9668897499119409,12
10,-1.0,0.969355406833392,4
10,-1.0,0.9700598802395209,12
10,-1.0,0.9672419866150053,9
10,-1.0,0.9682986967241987,18
10,-1.0,0.9686509334272632,7
10,-1.0,0.9682986967241987,18
10,-1.0,0.9682986967241987,2
10,-1.0,0.9651285663966185,10
10,-1.0,0.9675942233180698,6
10,-1.0,0.969355406833392,10
10,-1.0,0.965480803099683,5
10,-1.0,0.9665375132088764,7
10,-1.0,0.9665375132088764,3
10,-1.0,0.9672419866150053,7
10,-1.0,0.965480803099683,6
10,-1.0,0.9675942233180698,3
10,-1.0,0.9633673828812962,7
10,-1.0,0.9661852765058119,6
10,-1.0,0.9686509334272632,16
10,-1.0,0.9672419866150053,16
10,-1.0,0.9711165903487143,17
10,-1.0,0.9690031701303276,19
10,-1.0,0.9682986967241987,10
10,-1.0,0.9682986967241987,7
10,-1.0,0.9668897499119409,7
10,-1.0,0.9668897499119409,7
10,-1.0,0.9661852765058119,5
10,-1.0,0.9675942233180698,2
10,-1.0,0.9668897499119409,13
10,-1.0,0.9658330398027475,2
10,-1.0,0.9665375132088764,9
10,-1.0,0.9668897499119409,7
10,-1.0,0.9668897499119409,10
10,-1.0,0.9675942233180698,10
10,-1.0,0.9679464600211342,9
10,-1.0,0.9679464600211342,10
10,12.0,0.9623106727721028,11
10,12.0,0.9623106727721028,11
10,12.0,0.9626629094751673,14
10,12.0,0.9623106727721028,13
10,12.0,0.9623106727721028,19
10,12.0,0.9626629094751673,10
10,12.0,0.9626629094751673,14
10,12.0,0.9623106727721028,18
10,12.0,0.9630151461782318,16
10,12.0,0.9619584360690384,15
10,12.0,0.9616061993659739,18
10,12.0,0.9623106727721028,10
10,12.0,0.9626629094751673,19
10,12.0,0.9630151461782318,14
10,12.0,0.9612539626629095,18
10,12.0,0.9623106727721028,18
10,12.0,0.9616061993659739,20
10,12.0,0.9619584360690384,20
10,12.0,0.9626629094751673,16
10,12.0,0.9630151461782318,18
10,12.0,0.9633673828812962,13
10,12.0,0.9623106727721028,17
10,12.0,0.9619584360690384,16
10,12.0,0.9612539626629095,18
10,12.0,0.9619584360690384,13
10,12.0,0.960901725959845,10
10,12.0,0.9619584360690384,12
10,12.0,0.9623106727721028,17
10,12.0,0.9619584360690384,15
10,12.0,0.9623106727721028,20
10,12.0,0.9612539626629095,13
10,12.0,0.9623106727721028,14
10,12.0,0.9619584360690384,19
10,12.0,0.9619584360690384,15
10,12.0,0.9619584360690384,11
10,12.0,0.9623106727721028,16
10,12.0,0.9619584360690384,18
10,12.0,0.9626629094751673,16
10,12.0,0.9630151461782318,15
10,12.0,0.9630151461782318,18
10,12.0,0.9616061993659739,19
10,12.0,0.9623106727721028,15
10,12.0,0.9626629094751673,19
10,12.0,0.9623106727721028,13
10,12.0,0.9623106727721028,17
10,12.0,0.9623106727721028,12
10,12.0,0.9633673828812962,16
10,12.0,0.9612539626629095,15
10,12.0,0.9623106727721028,14
10,12.0,0.9623106727721028,16
10,11.0,0.9651285663966185,3
10,11.0,0.9633673828812962,5
10,11.0,0.9651285663966185,3
10,11.0,0.9644240929904896,5
10,11.0,0.9640718562874252,4
10,11.0,0.9644240929904896,6
10,11.0,0.9626629094751673,3
10,11.0,0.9647763296935541,8
10,11.0,0.9661852765058119,10
10,11.0,0.9633673828812962,3
10,11.0,0.9651285663966185,3
10,11.0,0.9640718562874252,3
10,11.0,0.9637196195843607,5
10,11.0,0.9651285663966185,3
10,11.0,0.9619584360690384,7
10,11.0,0.9630151461782318,6
10,11.0,0.9644240929904896,6
10,11.0,0.9637196195843607,3
10,11.0,0.9633673828812962,4
10,11.0,0.9640718562874252,9
10,11.0,0.965480803099683,13
10,11.0,0.965480803099683,2
10,11.0,0.9612539626629095,6
10,11.0,0.9633673828812962,11
10,11.0,0.9619584360690384,5
10,11.0,0.9651285663966185,10
10,11.0,0.9633673828812962,2
10,11.0,0.9651285663966185,7
10,11.0,0.9658330398027475,7
10,11.0,0.9633673828812962,2
10,11.0,0.9647763296935541,7
10,11.0,0.965480803099683,2
10,11.0,0.9644240929904896,14
10,11.0,0.9640718562874252,4
10,11.0,0.9665375132088764,6
10,11.0,0.9651285663966185,6
10,11.0,0.9644240929904896,4
10,11.0,0.965480803099683,5
10,11.0,0.9633673828812962,20
10,11.0,0.9640718562874252,18
10,11.0,0.9633673828812962,7
10,11.0,0.9633673828812962,3
10,11.0,0.9665375132088764,3
10,11.0,0.9637196195843607,5
10,11.0,0.9640718562874252,4
10,11.0,0.9619584360690384,5
10,11.0,0.9644240929904896,3
10,11.0,0.9651285663966185,3
10,11.0,0.9647763296935541,5
10,11.0,0.9633673828812962,2
10,10.0,0.9644240929904896,13
10,10.0,0.9647763296935541,5
10,10.0,0.9637196195843607,11
10,10.0,0.9630151461782318,11
10,10.0,0.9647763296935541,11
10,10.0,0.965480803099683,5
10,10.0,0.9661852765058119,9
10,10.0,0.9651285663966185,10
10,10.0,0.9658330398027475,9
10,10.0,0.9637196195843607,6
10,10.0,0.9647763296935541,8
10,10.0,0.9640718562874252,4
10,10.0,0.9644240929904896,5
10,10.0,0.9640718562874252,6
10,10.0,0.9647763296935541,13
10,10.0,0.9651285663966185,3
10,10.0,0.9637196195843607,5
10,10.0,0.9640718562874252,14
10,10.0,0.9658330398027475,6
10,10.0,0.9647763296935541,5
10,10.0,0.9640718562874252,7
10,10.0,0.9630151461782318,3
10,10.0,0.9637196195843607,5
10,10.0,0.9640718562874252,3
10,10.0,0.9651285663966185,8
10,10.0,0.9651285663966185,5
10,10.0,0.9651285663966185,6
10,10.0,0.9623106727721028,8
10,10.0,0.9647763296935541,3
10,10.0,0.9644240929904896,3
10,10.0,0.9644240929904896,3
10,10.0,0.9633673828812962,4
10,10.0,0.9651285663966185,3
10,10.0,0.9626629094751673,2
10,10.0,0.9623106727721028,5
10,10.0,0.9644240929904896,9
10,10.0,0.9630151461782318,8
10,10.0,0.9640718562874252,4
10,10.0,0.9637196195843607,3
10,10.0,0.9644240929904896,5
10,10.0,0.965480803099683,9
10,10.0,0.9623106727721028,4
10,10.0,0.9633673828812962,19
10,10.0,0.9630151461782318,5
10,10.0,0.9637196195843607,5
10,10.0,0.9651285663966185,5
10,10.0,0.9665375132088764,13
10,10.0,0.9637196195843607,2
10,10.0,0.965480803099683,3
10,10.0,0.965480803099683,10
10,9.0,0.9640718562874252,3
10,9.0,0.9647763296935541,3
10,9.0,0.9672419866150053,9
10,9.0,0.9647763296935541,14
10,9.0,0.9665375132088764,4
10,9.0,0.9647763296935541,5
10,9.0,0.9679464600211342,5
10,9.0,0.9658330398027475,6
10,9.0,0.9658330398027475,16
10,9.0,0.9668897499119409,4
10,9.0,0.9633673828812962,7
10,9.0,0.9647763296935541,4
10,9.0,0.9633673828812962,4
10,9.0,0.9661852765058119,6
10,9.0,0.9644240929904896,5
10,9.0,0.9661852765058119,5
10,9.0,0.9658330398027475,3
10,9.0,0.9658330398027475,16
10,9.0,0.9665375132088764,5
10,9.0,0.9668897499119409,7
10,9.0,0.9658330398027475,4
10,9.0,0.9651285663966185,13
10,9.0,0.9679464600211342,9
10,9.0,0.9675942233180698,4
10,9.0,0.9651285663966185,18
10,9.0,0.9658330398027475,9
10,9.0,0.9672419866150053,4
10,9.0,0.9675942233180698,11
10,9.0,0.965480803099683,4
10,9.0,0.965480803099683,9
10,9.0,0.9675942233180698,6
10,9.0,0.9661852765058119,9
10,9.0,0.9661852765058119,9
10,9.0,0.9661852765058119,3
10,9.0,0.965480803099683,10
10,9.0,0.9640718562874252,3
10,9.0,0.9668897499119409,3
10,9.0,0.9644240929904896,7
10,9.0,0.9668897499119409,7
10,9.0,0.9658330398027475,10
10,9.0,0.9661852765058119,5
10,9.0,0.9665375132088764,6
10,9.0,0.9661852765058119,9
10,9.0,0.9661852765058119,4
10,9.0,0.9679464600211342,12
10,9.0,0.965480803099683,3
10,9.0,0.9658330398027475,7
10,9.0,0.9682986967241987,11
10,9.0,0.965480803099683,9
10,9.0,0.965480803099683,7
10,8.0,0.9651285663966185,7
10,8.0,0.9668897499119409,6
10,8.0,0.9665375132088764,10
10,8.0,0.9651285663966185,4
10,8.0,0.9640718562874252,5
10,8.0,0.9665375132088764,18
10,8.0,0.9686509334272632,3
10,8.0,0.9658330398027475,5
10,8.0,0.9672419866150053,16
10,8.0,0.9665375132088764,2
10,8.0,0.9682986967241987,15
10,8.0,0.9661852765058119,9
10,8.0,0.9651285663966185,2
10,8.0,0.9651285663966185,4
10,8.0,0.9640718562874252,3
10,8.0,0.9672419866150053,6
10,8.0,0.9658330398027475,3
10,8.0,0.965480803099683,5
10,8.0,0.9661852765058119,4
10,8.0,0.965480803099683,20
10,8.0,0.9665375132088764,3
10,8.0,0.9665375132088764,6
10,8.0,0.9665375132088764,2
10,8.0,0.9697076435364566,10
10,8.0,0.9665375132088764,8
10,8.0,0.9651285663966185,3
10,8.0,0.9672419866150053,6
10,8.0,0.9637196195843607,8
10,8.0,0.9633673828812962,3
10,8.0,0.9651285663966185,10
10,8.0,0.965480803099683,4
10,8.0,0.9651285663966185,4
10,8.0,0.9665375132088764,4
10,8.0,0.9675942233180698,3
10,8.0,0.9651285663966185,15
10,8.0,0.9672419866150053,3
10,8.0,0.9668897499119409,3
10,8.0,0.9658330398027475,3
10,8.0,0.9665375132088764,3
10,8.0,0.9665375132088764,9
10,8.0,0.9665375132088764,7
10,8.0,0.9647763296935541,5
10,8.0,0.9661852765058119,18
10,8.0,0.9644240929904896,2
10,8.0,0.9658330398027475,6
10,8.0,0.9658330398027475,19
10,8.0,0.965480803099683,13
10,8.0,0.9658330398027475,10
10,8.0,0.9672419866150053,6
10,8.0,0.9644240929904896,6
10,6.0,0.9651285663966185,7
10,6.0,0.9672419866150053,11
10,6.0,0.9668897499119409,7
10,6.0,0.9668897499119409,4
10,6.0,0.9665375132088764,17
10,6.0,0.9675942233180698,2
10,6.0,0.969355406833392,5
10,6.0,0.9675942233180698,3
10,6.0,0.9665375132088764,2
10,6.0,0.9658330398027475,9
10,6.0,0.9682986967241987,17
10,6.0,0.9679464600211342,11
10,6.0,0.9675942233180698,9
10,6.0,0.9658330398027475,3
10,6.0,0.9679464600211342,4
10,6.0,0.9668897499119409,15
10,6.0,0.9682986967241987,16
10,6.0,0.9707643536456498,7
10,6.0,0.9675942233180698,3
10,6.0,0.9661852765058119,4
10,6.0,0.9682986967241987,5
10,6.0,0.9658330398027475,5
10,6.0,0.965480803099683,13
10,6.0,0.9675942233180698,3
10,6.0,0.9668897499119409,10
10,6.0,0.9690031701303276,10
10,6.0,0.9661852765058119,2
10,6.0,0.9672419866150053,12
10,6.0,0.9672419866150053,4
10,6.0,0.9672419866150053,4
10,6.0,0.9672419866150053,4
10,6.0,0.9661852765058119,2
10,6.0,0.9644240929904896,2
10,6.0,0.9675942233180698,3
10,6.0,0.9665375132088764,9
10,6.0,0.9672419866150053,10
10,6.0,0.9658330398027475,8
10,6.0,0.9651285663966185,2
10,6.0,0.9658330398027475,11
10,6.0,0.9668897499119409,8
10,6.0,0.9651285663966185,2
10,6.0,0.9640718562874252,4
10,6.0,0.9675942233180698,9
10,6.0,0.9661852765058119,8
10,6.0,0.9679464600211342,13
10,6.0,0.9651285663966185,8
10,6.0,0.9665375132088764,4
10,6.0,0.9668897499119409,3
10,6.0,0.9665375132088764,4
10,6.0,0.9668897499119409,13
10,4.0,0.9658330398027475,4
10,4.0,0.9679464600211342,18
10,4.0,0.9711165903487143,7
10,4.0,0.9679464600211342,8
10,4.0,0.9675942233180698,2
10,4.0,0.965480803099683,11
10,4.0,0.9679464600211342,3
10,4.0,0.9672419866150053,4
10,4.0,0.9682986967241987,5
10,4.0,0.9647763296935541,8
10,4.0,0.9665375132088764,5
10,4.0,0.9672419866150053,11
10,4.0,0.9690031701303276,10
10,4.0,0.9661852765058119,3
10,4.0,0.9679464600211342,6
10,4.0,0.9690031701303276,7
10,4.0,0.9679464600211342,14
10,4.0,0.9675942233180698,7
10,4.0,0.9665375132088764,18
10,4.0,0.9675942233180698,8
10,4.0,0.9686509334272632,7
10,4.0,0.9675942233180698,7
10,4.0,0.9679464600211342,4
10,4.0,0.9672419866150053,15
10,4.0,0.9658330398027475,7
10,4.0,0.9668897499119409,6
10,4.0,0.9686509334272632,9
10,4.0,0.9675942233180698,10
10,4.0,0.9675942233180698,3
10,4.0,0.9690031701303276,13
10,4.0,0.9711165903487143,3
10,4.0,0.9668897499119409,2
10,4.0,0.9672419866150053,8
10,4.0,0.9665375132088764,11
10,4.0,0.965480803099683,10
10,4.0,0.9686509334272632,11
10,4.0,0.965480803099683,9
10,4.0,0.9661852765058119,5
10,4.0,0.9690031701303276,7
10,4.0,0.9686509334272632,12
10,4.0,0.9679464600211342,7
10,4.0,0.9665375132088764,13
10,4.0,0.9672419866150053,10
10,4.0,0.9644240929904896,5
10,4.0,0.9647763296935541,4
10,4.0,0.9665375132088764,3
10,4.0,0.9658330398027475,3
10,4.0,0.9682986967241987,13
10,4.0,0.9665375132088764,8
10,4.0,0.9690031701303276,3
10,2.0,0.9686509334272632,19
10,2.0,0.9665375132088764,5
10,2.0,0.9658330398027475,9
10,2.0,0.9675942233180698,2
10,2.0,0.9686509334272632,19
10,2.0,0.9686509334272632,7
10,2.0,0.9644240929904896,5
10,2.0,0.9679464600211342,6
10,2.0,0.9665375132088764,10
10,2.0,0.9668897499119409,3
10,2.0,0.9668897499119409,3
10,2.0,0.9675942233180698,5
10,2.0,0.9661852765058119,7
10,2.0,0.9665375132088764,8
10,2.0,0.9658330398027475,11
10,2.0,0.9647763296935541,8
10,2.0,0.9675942233180698,2
10,2.0,0.9672419866150053,11
10,2.0,0.9686509334272632,10
10,2.0,0.9661852765058119,9
10,2.0,0.9668897499119409,16
10,2.0,0.9714688270517788,9
10,2.0,0.9707643536456498,11
10,2.0,0.9668897499119409,7
10,2.0,0.9690031701303276,2
10,2.0,0.9686509334272632,3
10,2.0,0.9658330398027475,15
10,2.0,0.9668897499119409,7
10,2.0,0.9690031701303276,8
10,2.0,0.9665375132088764,3
10,2.0,0.9686509334272632,7
10,2.0,0.9668897499119409,5
10,2.0,0.9661852765058119,10
10,2.0,0.965480803099683,7
10,2.0,0.9672419866150053,10
10,2.0,0.9668897499119409,5
10,2.0,0.9668897499119409,18
10,2.0,0.9665375132088764,8
10,2.0,0.9679464600211342,7
10,2.0,0.9682986967241987,10
10,2.0,0.9658330398027475,5
10,2.0,0.9700598802395209,9
10,2.0,0.9647763296935541,9
10,2.0,0.9682986967241987,8
10,2.0,0.9675942233180698,5
10,2.0,0.9665375132088764,11
10,2.0,0.9672419866150053,15
10,2.0,0.9675942233180698,10
10,2.0,0.9661852765058119,13
10,2.0,0.9665375132088764,6
10,0.0,0.9690031701303276,7
10,0.0,0.9690031701303276,10
10,0.0,0.9672419866150053,11
10,0.0,0.9668897499119409,7
10,0.0,0.9658330398027475,5
10,0.0,0.9665375132088764,2
10,0.0,0.9679464600211342,15
10,0.0,0.9704121169425854,4
10,0.0,0.969355406833392,7
10,0.0,0.9672419866150053,19
10,0.0,0.9686509334272632,14
10,0.0,0.9668897499119409,5
10,0.0,0.9675942233180698,3
10,0.0,0.9672419866150053,9
10,0.0,0.9675942233180698,15
10,0.0,0.9675942233180698,8
10,0.0,0.969355406833392,9
10,0.0,0.9679464600211342,4
10,0.0,0.9679464600211342,11
10,0.0,0.9686509334272632,17
10,0.0,0.9686509334272632,4
10,0.0,0.9644240929904896,3
10,0.0,0.9679464600211342,9
10,0.0,0.9675942233180698,8
10,0.0,0.9672419866150053,4
10,0.0,0.9675942233180698,9
10,0.0,0.9686509334272632,12
10,0.0,0.9672419866150053,6
10,0.0,0.9672419866150053,13
10,0.0,0.9675942233180698,5
10,0.0,0.9661852765058119,9
10,0.0,0.9675942233180698,18
10,0.0,0.9690031701303276,13
10,0.0,0.9682986967241987,4
10,0.0,0.969355406833392,5
10,0.0,0.9661852765058119,5
10,0.0,0.9665375132088764,5
10,0.0,0.9675942233180698,3
10,0.0,0.9658330398027475,11
10,0.0,0.9668897499119409,3
10,0.0,0.9704121169425854,9
10,0.0,0.9672419866150053,11
10,0.0,0.9658330398027475,6
10,0.0,0.9679464600211342,3
10,0.0,0.9675942233180698,12
10,0.0,0.9686509334272632,5
10,0.0,0.9686509334272632,9
10,0.0,0.9700598802395209,10
10,0.0,0.9675942233180698,2
10,0.0,0.9721733004579077,3
10,,0.9658330398027475,2
10,,0.9647763296935541,2
10,,0.9672419866150053,3
10,,0.969355406833392,18
10,,0.9672419866150053,4
10,,0.9672419866150053,7
10,,0.9682986967241987,7
10,,0.9675942233180698,3
10,,0.9668897499119409,18
10,,0.9675942233180698,2
10,,0.9672419866150053,4
10,,0.9675942233180698,4
10,,0.9668897499119409,20
10,,0.9675942233180698,13
10,,0.9697076435364566,11
10,,0.9682986967241987,7
10,,0.9690031701303276,2
10,,0.9679464600211342,6
10,,0.9675942233180698,5
10,,0.9690031701303276,4
10,,0.9686509334272632,5
10,,0.9686509334272632,5
10,,0.9668897499119409,8
10,,0.9661852765058119,7
10,,0.9704121169425854,11
10,,0.9672419866150053,3
10,,0.9668897499119409,15
10,,0.969355406833392,3
10,,0.965480803099683,9
10,,0.9672419866150053,3
10,,0.9679464600211342,11
10,,0.9668897499119409,6
10,,0.9690031701303276,4
10,,0.9675942233180698,5
10,,0.9651285663966185,5
10,,0.9661852765058119,10
10,,0.9672419866150053,4
10,,0.9658330398027475,6
10,,0.9644240929904896,8
10,,0.9651285663966185,6
10,,0.9661852765058119,2
10,,0.9665375132088764,6
10,,0.9668897499119409,8
10,,0.9661852765058119,8
10,,0.9686509334272632,6
10,,0.9679464600211342,10
